,algorithm,distance,xi,min_samples,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient
0,kd_tree,euclidean,0.05,5,0.010104230929026901,0.9625994694960213,0.7615502132088775,1.0377453018007239,-0.3099846913389167
1,kd_tree,euclidean,0.05,15,0.002183184416933805,0.9620689655172414,0.49433906279804174,1.3125819486185581,0.27821178415747116
2,kd_tree,euclidean,0.1,5,0.010941924244172441,0.9625994694960213,0.8075302540452945,0.9768957434320579,-0.36032834050816115
3,kd_tree,euclidean,0.1,15,0.000951336770562729,0.9620689655172414,0.37534781211258555,1.3756731454364053,0.4314153926955038
4,ball_tree,euclidean,0.05,5,0.010104230929026901,0.9625994694960213,0.7615502132088775,1.0377453018007239,-0.3099846913389167
5,ball_tree,euclidean,0.05,15,0.002183184416933805,0.9620689655172414,0.49433906279804174,1.3125819486185581,0.27821178415747116
6,ball_tree,euclidean,0.1,5,0.010941924244172441,0.9625994694960213,0.8075302540452945,0.9768957434320579,-0.36032834050816115
7,ball_tree,euclidean,0.1,15,0.000951336770562729,0.9620689655172414,0.37534781211258555,1.3756731454364053,0.4314153926955038
8,kd_tree,manhattan,0.05,5,0.000978481042767013,0.9625994694960213,0.7533527548923911,1.0332797962240607,-0.29454675122075985
9,kd_tree,manhattan,0.05,15,0.0013151760169433798,0.9620689655172414,0.5230441193777735,1.274254216301381,0.24075476157211123
10,kd_tree,manhattan,0.1,5,0.0019967484740276817,0.9625994694960213,0.7821120689655173,0.9971005786036662,-0.3090400697668928
11,kd_tree,manhattan,0.1,15,0.0011427468526676683,0.9620689655172414,0.37603494171281704,1.3595657062675572,0.4380660881567891
12,ball_tree,manhattan,0.05,5,0.000978481042767013,0.9625994694960213,0.7533527548923911,1.0332797962240607,-0.29454675122075985
13,ball_tree,manhattan,0.05,15,0.0013151760169433798,0.9620689655172414,0.5230441193777735,1.274254216301381,0.24075476157211123
14,ball_tree,manhattan,0.1,5,0.0019967484740276817,0.9625994694960213,0.7821120689655173,0.9971005786036662,-0.3090400697668928
15,ball_tree,manhattan,0.1,15,0.0011427468526676683,0.9620689655172414,0.37603494171281704,1.3595657062675572,0.4380660881567891
16,kd_tree,minkowski,0.05,5,0.006780068592747194,0.9625994694960213,0.7521722516847689,1.0519821585873987,-0.29604127008968734
17,kd_tree,minkowski,0.05,15,0.002314173387431235,0.9620689655172414,0.48993154470853356,1.2945296701046418,0.282713317424238
18,kd_tree,minkowski,0.1,5,0.01059009452231477,0.9625994694960213,0.8066355464844981,0.9966010185428956,-0.36337297186956996
19,kd_tree,minkowski,0.1,15,0.0010439041488264334,0.9620689655172414,0.37017483242346766,1.3593363737259563,0.4359425977229165
20,ball_tree,minkowski,0.05,5,0.006780068592747194,0.9625994694960213,0.7521722516847689,1.0519821585873987,-0.29604127008968734
21,ball_tree,minkowski,0.05,15,0.002314173387431235,0.9620689655172414,0.48993154470853356,1.2945296701046418,0.282713317424238
22,ball_tree,minkowski,0.1,5,0.01059009452231477,0.9625994694960213,0.8066355464844981,0.9966010185428956,-0.36337297186956996
23,ball_tree,minkowski,0.1,15,0.0010439041488264334,0.9620689655172414,0.37017483242346766,1.3593363737259563,0.4359425977229165
